constructor_id,constructor_name,team_strength,avg_pred_perf,starts
RED,Red Bull Racing,0.8263896398248247,0.9867888239303046,175
ALP,Alpine,0.4876627779426366,0.8742818901668814,175
MER,Mercedes-AMG Petronas,0.3403774811460686,0.9068793344140228,174
SAU,Kick Sauber,0.29539067792589935,0.985818088254792,176
MCL,McLaren,0.2855409107281459,0.7544840021519063,175
AST,Aston Martin,0.2457779830947043,0.9799427797659888,176
FER,Ferrari,0.226390736502247,0.5513739555897063,175
HAA,Haas F1 Team,0.18216890805455607,0.9482951701695326,175
RBM,RB (Visa Cash App),0.15889999574353603,0.7615584317705024,175
WIL,Williams,-0.05533100935441766,0.4699283870842527,170
