driver_id,driver_eff_cum_mean,driver_name
STR,1.0971838432654912,Lance Stroll
HUL,1.003233103495462,Nico Hülkenberg
ALO,0.9526014201786844,Fernando Alonso
ALB,0.8670857981698632,Alexander Albon
BOT,0.8127673296998787,Valtteri Bottas
SAI,0.7386561937675944,Carlos Sainz
ZHO,0.7382328224530627,Zhou Guanyu
TSU,0.7288495115961298,Yuki Tsunoda
LAW,0.697745134615921,Liam Lawson
MAG,0.6806232642456136,Kevin Magnussen
SAR,0.6482222965429272,Logan Sargeant
HAM,0.6279537584450491,Lewis Hamilton
RUS,0.6148891396143598,George Russell
NOR,0.5562107971688693,Lando Norris
PIA,0.4003538036691488,Oscar Piastri
MSC,0.34344803349311354,Mick Schumacher
DRI,0.342389226543983,Daniel Ricciardo
RIC,0.2753738893697211,Robert Kubica
PER,0.2118030619706862,Sergio Pérez
LEC,0.19385510876355558,Charles Leclerc
GAS,0.19334410781108732,Pierre Gasly
DEV,0.15649141141527226,Nyck de Vries
OCO,0.1519359864176475,Esteban Ocon
VER,0.0436840276307545,Max Verstappen
