driver_id,driver_eff_cum_mean,driver_name
STR,1.1049951792296107,Lance Stroll
HUL,1.0300087706662902,Nico Hülkenberg
ALO,0.9605142672259759,Fernando Alonso
ALB,0.8694968559420632,Alexander Albon
BOT,0.8389755370268728,Valtteri Bottas
ZHO,0.7447622365596975,Zhou Guanyu
SAI,0.743886678426217,Carlos Sainz
TSU,0.7310247112680495,Yuki Tsunoda
LAW,0.7255638395215935,Liam Lawson
MAG,0.6872752213217974,Kevin Magnussen
SAR,0.6752322321947942,Logan Sargeant
HAM,0.6435846520728175,Lewis Hamilton
RUS,0.629901046841572,George Russell
NOR,0.5795211052751741,Lando Norris
PIA,0.42421977285114537,Oscar Piastri
MSC,0.3623987406356482,Mick Schumacher
DRI,0.35445266132235786,Daniel Ricciardo
RIC,0.2828184603476008,Robert Kubica
PER,0.2244371939276158,Sergio Pérez
GAS,0.21313198795401253,Pierre Gasly
LEC,0.19875638739273258,Charles Leclerc
OCO,0.17102619932134686,Esteban Ocon
DEV,0.17048477760353226,Nyck de Vries
VER,0.0564109558590337,Max Verstappen
