driver_id,driver_eff_cum_mean,driver_name
STR,0.9705833693219653,Lance Stroll
ALO,0.8208645133124184,Fernando Alonso
HUL,0.8190869572480182,Nico Hülkenberg
ALB,0.748976900758384,Alexander Albon
BOT,0.6326996340515887,Valtteri Bottas
SAI,0.6266239688212715,Carlos Sainz
LAW,0.5965376551817327,Liam Lawson
ZHO,0.5940155806411411,Zhou Guanyu
RUS,0.5520511613580502,George Russell
MAG,0.5460612756511758,Kevin Magnussen
SAR,0.5455152560919553,Logan Sargeant
HAM,0.5303322590321763,Lewis Hamilton
NOR,0.5185057360129146,Lando Norris
TSU,0.44630446919561456,Yuki Tsunoda
PIA,0.41541352127996034,Oscar Piastri
MSC,0.2768441812567788,Mick Schumacher
DRI,0.2626683669836151,Daniel Ricciardo
PER,0.23723063252594087,Sergio Pérez
RIC,0.23651900301786066,Robert Kubica
GAS,0.21789650904155516,Pierre Gasly
LEC,0.17058084161754689,Charles Leclerc
OCO,0.15009005460662847,Esteban Ocon
DEV,0.10737757162678392,Nyck de Vries
VER,0.08001960787906848,Max Verstappen
